P52798	Homo sapiens	Metazoa	201	25	1
P17948	Homo sapiens	Metazoa	1338	26	1
Q8WWA0	Homo sapiens	Metazoa	313	18	1
O75629	Homo sapiens	Metazoa	220	31	1
P19069	Cavia porcellus	Metazoa	1742	19	1
P25236	Rattus norvegicus	Metazoa	385	19	1
P55955	Caenorhabditis elegans	Metazoa	132	19	1
P0DPU9	Myrmecia gulosa	Metazoa	67	25	1
P79263	Sus scrofa	Metazoa	921	27	1
P19320	Homo sapiens	Metazoa	739	24	1
P00719	Struthio camelus	Metazoa	204	19	1
P02809	Macaca fascicularis	Metazoa	61	19	1
P0C8E8	Rhipicephalus sanguineus	Metazoa	86	20	1
Q9P2K2	Homo sapiens	Metazoa	825	27	1
Q42502	Solanum tuberosum	Viridiplantae	386	23	1
Q6UWI4	Homo sapiens	Metazoa	295	33	1
Q99944	Homo sapiens	Metazoa	293	25	1
Q42656	Coffea arabica	Viridiplantae	378	15	1
P13917	Glycine max	Viridiplantae	427	24	1
P42098	Sus scrofa	Metazoa	421	22	1
P93484	Pisum sativum	Viridiplantae	623	22	1
P24807	Mus musculus	Metazoa	76	26	1
P12273	Homo sapiens	Metazoa	146	28	1
P26202	Oryctolagus cuniculus	Metazoa	137	20	1
P02763	Homo sapiens	Metazoa	201	18	1
P80513	Bos taurus	Metazoa	179	21	1
Q9UAD0	Olivierus martensii	Metazoa	59	24	1
P52706	Prunus serotina	Viridiplantae	563	27	1
P17164	Rattus norvegicus	Metazoa	462	28	1
P51654	Homo sapiens	Metazoa	580	24	1
O00206	Homo sapiens	Metazoa	839	23	1
P54803	Homo sapiens	Metazoa	685	42	1
P00533	Homo sapiens	Metazoa	1210	24	1
P19425	Aedes aegypti	Metazoa	97	19	1
Q4V645	Drosophila melanogaster	Metazoa	108	29	1
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24	1
Q4W1I9	Zinnia elegans	Viridiplantae	321	30	1
Q29W25	Crocus sativus	Viridiplantae	168	26	1
G8YYA5	Androctonus amoreuxi	Metazoa	74	22	1
P05113	Homo sapiens	Metazoa	134	19	1
P21128	Homo sapiens	Metazoa	410	18	1
G4V4F9	Cupiennius salei	Metazoa	97	19	1
P79073	Hypocrea jecorina	Fungi	86	15	1
P05790	Bombyx mori	Metazoa	5263	21	1
P34746	Oreochromis mossambicus	Metazoa	204	17	1
P86009	Dromaius novaehollandiae	Metazoa	238	17	1
Q9NS68	Homo sapiens	Metazoa	423	29	1
Q6UXB2	Homo sapiens	Metazoa	119	21	1
Q924B5	Rattus norvegicus	Metazoa	250	25	1
Q6X4U4	Homo sapiens	Metazoa	206	23	1
P16882	Mus musculus	Metazoa	650	24	1
Q9VG55	Drosophila melanogaster	Metazoa	191	24	1
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21	1
Q9Y240	Homo sapiens	Metazoa	323	21	1
P82384	Drosophila melanogaster	Metazoa	92	16	1
Q75WF2	Acanthaster planci	Metazoa	358	26	1
Q8WUJ3	Homo sapiens	Metazoa	1361	30	1
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24	1
P26010	Homo sapiens	Metazoa	798	19	1
P55058	Homo sapiens	Metazoa	493	17	1
Q25255	Lucilia cuprina	Metazoa	356	23	1
Q13478	Homo sapiens	Metazoa	541	18	1
P51688	Homo sapiens	Metazoa	502	20	1
D7UQ40	Alternaria solani	Fungi	515	25	1
Q08738	Bombyx mori	Metazoa	239	16	1
Q39649	Cucurbita maxima	Viridiplantae	141	22	1
P20068	Rattus norvegicus	Metazoa	169	22	1
P01027	Mus musculus	Metazoa	1663	24	1
P45590	Hyalophora cecropia	Metazoa	129	17	1
Q9UK23	Homo sapiens	Metazoa	515	25	1
P0DQP8	Cerrophidion godmani	Metazoa	166	19	1
P91629	Drosophila miranda	Metazoa	126	16	1
Q9NJ98	Manduca sexta	Metazoa	487	19	1
P07141	Mus musculus	Metazoa	552	32	1
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20	1
Q8BSU2	Mus musculus	Metazoa	246	26	1
P0CS93	Gibberella zeae	Fungi	680	24	1
P20774	Homo sapiens	Metazoa	298	20	1
O76076	Homo sapiens	Metazoa	250	23	1
P11717	Homo sapiens	Metazoa	2491	40	1
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51	1
Q64HC7	Armadillidium vulgare	Metazoa	73	19	1
Q5GQ85	Argas reflexus	Metazoa	159	16	1
P22327	Trichoplusia ni	Metazoa	624	18	1
Q9BXJ7	Homo sapiens	Metazoa	453	19	1
P02230	Chironomus thummi thummi	Metazoa	151	15	1
